"tract","coi_plus_17","d_family_stability","d_infant_health","d_childrens_health","d_housing","d_access","d_education","d_environment","d_crime"
39001770100,80.3675226694529,0.409776629080387,-0.330396065753593,-0.624153738912773,-0.219787373936669,0.412790978857793,-0.184949293811522,1.57870989905895,0.334263155944329
39001770200,88.9582952420862,1.10035731357455,-0.04229381197784,-0.173096661276608,0.00555120878845161,0.807212100813791,0.278574201732601,1.4614792031547,0.437978796492084
39001770300,81.3978692428141,1.05763668866396,-1.20745108138959,-0.434443429111127,0.601521910599041,0.899577241385628,-0.638421307338365,1.56529004937046,0.442746635519964
39001770400,68.4871480213274,-0.358534483161128,-1.46431905282495,-0.534476071087469,-0.813990943330092,-0.0911424036721565,-0.258513276781135,1.43285028127629,0.263161636022907
39001770500,81.0380864444738,0.975871342923633,-1.65490534719115,-0.0218370257696165,0.218968371236368,1.41868517246874,-0.253991034048956,1.85483623721614,0.413407006907159
39001770600,74.6038983220998,0.340495357682696,-1.814647699473,-0.501910996372764,0.361544266276263,-0.00179263052439392,0.168740126487713,1.59664420189435,0.223444301241521
39003010100,96.9285826881374,0.544121856168934,1.91132080597696,-0.11948270466192,0.758778623711214,2.0314340224256,1.07248845228172,0.902269383790546,0.576391855112372
39003010200,94.7620616309285,0.661100970049197,-0.255777432662417,0.215760901104362,0.733859433431172,1.72062172270215,1.1553045428543,1.13339486130857,0.573356500685141
39003010300,95.3477628370017,1.98628075560236,-0.143811633329561,0.767023872805985,0.483126807853658,1.9527893793286,0.727724038078084,1.01015590177583,0.47708182019592
39003010600,94.9851743516555,0.814397220972581,0.433300991393012,0.24726626612912,0.627107405092595,0.522139498965389,0.725652602897532,1.09220323834631,0.545076589793265
39003010800,94.50208953095,0.347974509253321,-0.265921344545394,0.768460428478482,1.19568085107011,1.23353161404206,0.838445513382298,0.59996141850602,0.556208086164169
39003010900,86.7119008738713,1.23866283801642,0.786590896345424,-0.237240429036379,-0.321300076569932,1.50433291185049,0.495220833314176,-0.482114451395294,0.257461790031402
39003011000,86.0033122903613,0.280782225280622,0.0914194264817928,0.152190331003635,-0.0139215014740245,1.11340140214929,0.0233358831269383,-0.509531957819995,0.548800009973624
